literal;functor;domain
game_details("G123", "Frostpunk", "strategy", 30, "11bitStudios", "11bitStudios", "01/05/2018");game_details;games_platform
game_details("G456", "Sekiro", "soulslike", 50, "FromSoftware", "Activision", _);game_details;games_platform
game_details(_, "HollowKnight", "metroidvania", 15, _, "Team Cherry", _);game_details;games_platform
game_details(_, "Valorant", "shooter", 0, "Riot Games", "Riot Games", "01/01/2020");game_details;games_platform
game_details("G999", _, "rpg", 60, "CDPR", _, "01/01/2025");game_details;games_platform
last_project_id(202);last_project_id;house_builder
project_details(ProjectID, ProjectName, Status);project_details;house_builder
project_milestone(ProjectID, MilestoneName, CompletionDate);project_milestone;house_builder
site_info(ProjectID, Address, GroundType);site_info;house_builder
permit_status(ProjectID, PermitType, Status);permit_status;house_builder
resource_needed(ProjectID, ResourceName, Unit(Quantity));resource_needed;house_builder
resource_inventory(ResourceName, CurrentStock);resource_inventory;house_builder
supplier_details(SupplierName, ContactPerson);supplier_details;house_builder
team_assignment(ProjectID, EmployeeID, Role);team_assignment;house_builder
employee_skill(EmployeeID, Skill);employee_skill;house_builder
inspection_scheduled(ProjectID, InspectionType, Date, Outcome);inspection_scheduled;house_builder
safety_incident(ProjectID, Date, Description);safety_incident;house_builder
budget_item(ProjectID, Item, Currency(ActualCost));budget_item;house_builder
payment_status(ProjectID, Status);payment_status;house_builder
equipment_on_site(ProjectID, EquipmentType);equipment_on_site;house_builder
waste_management(ProjectID, WasteType, Volume);waste_management;house_builder
client_communication(ProjectID, Date, Subject);client_communication;house_builder
project_details(303, "Central Plaza", active);project_details;house_builder
project_details(304, "East Wing Expansion", delayed);project_details;house_builder
project_details(305, "Warehouse Build", completed);project_details;house_builder
project_milestone(303, "Foundation", "2025-07-15");project_milestone;house_builder
project_milestone(304, "Inspection", _);project_milestone;house_builder
project_milestone(_, "Final Review", "2026-01-10");project_milestone;house_builder
site_info(303, "456 Elm Street", "Gravel");site_info;house_builder
site_info(304, "789 Oak Road", "Sand");site_info;house_builder
site_info(_, "221 Pine Lane", _);site_info;house_builder
permit_status(303, "Construction", "Pending");permit_status;house_builder
permit_status(304, "Zoning", "Approved");permit_status;house_builder
permit_status(_, _, "Denied");permit_status;house_builder
resource_needed(303, "cement bags", unit(200));resource_needed;house_builder
resource_needed(304, "rebar", unit(300));resource_needed;house_builder
resource_needed(_, "glass panels", unit(_));resource_needed;house_builder
resource_inventory("cement bags", 150);resource_inventory;house_builder
resource_inventory("rebar", 80);resource_inventory;house_builder
resource_inventory("bricks", _);resource_inventory;house_builder
supplier_details("BuildItCo", "Anna Lee");supplier_details;house_builder
supplier_details("FastSteel", "John Doe");supplier_details;house_builder
supplier_details(_, "Luca Bianchi");supplier_details;house_builder
team_assignment(303, "E202", "Electrician");team_assignment;house_builder
team_assignment(304, "E303", "Foreman");team_assignment;house_builder
team_assignment(_, _, "Site Manager");team_assignment;house_builder
employee_skill("E202", "Plumbing");employee_skill;house_builder
employee_skill("E303", "Excavation");employee_skill;house_builder
employee_skill(_, "Masonry");employee_skill;house_builder
inspection_scheduled(303, "Fire Safety", "2025-08-01", "Scheduled");inspection_scheduled;house_builder
inspection_scheduled(304, "Zoning", _, "Failed");inspection_scheduled;house_builder
inspection_scheduled(_, "HVAC", "2025-10-10", _);inspection_scheduled;house_builder
safety_incident(303, "2025-07-22", "Worker injury from equipment");safety_incident;house_builder
safety_incident(304, "2025-06-10", "Tripping hazard reported");safety_incident;house_builder
safety_incident(_, "2025-07-01", _);safety_incident;house_builder
budget_item(303, "Steel", euro(5000));budget_item;house_builder
budget_item(304, "Glass", usd(3500));budget_item;house_builder
budget_item(_, "Labor", euro(_));budget_item;house_builder
payment_status(303, paid);payment_status;house_builder
payment_status(304, pending);payment_status;house_builder
payment_status(_, processing);payment_status;house_builder
equipment_on_site(303, "Excavator");equipment_on_site;house_builder
equipment_on_site(304, "Forklift");equipment_on_site;house_builder
equipment_on_site(_, "Concrete Mixer");equipment_on_site;house_builder
waste_management(303, "Plastic", 10);waste_management;house_builder
waste_management(304, "Metal", 15);waste_management;house_builder
waste_management(_, "Concrete", _);waste_management;house_builder
client_communication(303, "2025-06-30", "Change order request");client_communication;house_builder
client_communication(304, "2025-07-15", "Permit delay");client_communication;house_builder
client_communication(_, "2025-08-10", _);client_communication;house_builder
project_details(_, "North Bridge", active);project_details;house_builder
project_details(306, _, planning);project_details;house_builder
project_milestone(306, "Design Phase", "2025-05-01");project_milestone;house_builder
project_milestone(307, "Utility Setup", _);project_milestone;house_builder
site_info(306, "90 River Way", "Rocky");site_info;house_builder
permit_status(306, "Fire Safety", "Approved");permit_status;house_builder
permit_status(307, "Noise", "Pending");permit_status;house_builder
resource_needed(306, "pipes", unit(90));resource_needed;house_builder
resource_inventory("glass panels", 40);resource_inventory;house_builder
supplier_details("UrbanStone", "Elisa Marino");supplier_details;house_builder
team_assignment(306, "E404", "Surveyor");team_assignment;house_builder
employee_skill("E404", "Surveying");employee_skill;house_builder
inspection_scheduled(306, "Waterproofing", _, "Passed");inspection_scheduled;house_builder
safety_incident(306, "2025-07-04", "Minor chemical spill");safety_incident;house_builder
budget_item(306, "Insulation", euro(1200));budget_item;house_builder
payment_status(306, approved);payment_status;house_builder
equipment_on_site(306, "Backhoe");equipment_on_site;house_builder
waste_management(306, "Wood", 25);waste_management;house_builder
client_communication(306, "2025-06-15", "Material concern");client_communication;house_builder
resource_needed(_, "tiles", unit(120));resource_needed;house_builder
resource_needed(202, "cement bags", unit(150));resource_needed;house_builder
equipment_on_site(202, "Cement Mixer");equipment_on_site;house_builder
team_assignment(202, "E150", "Plumber");team_assignment;house_builder
employee_skill("E150", "Drainage Systems");employee_skill;house_builder
permit_status(202, "Plumbing", "Approved");permit_status;house_builder
inspection_scheduled(202, "HVAC", _, "Scheduled");inspection_scheduled;house_builder
budget_item(202, "Equipment Rental", euro(1800));budget_item;house_builder
payment_status(202, completed);payment_status;house_builder
client_communication(202, "2025-09-10", "Schedule clarification");client_communication;house_builder
waste_management(202, "Concrete", 50);waste_management;house_builder
resource_inventory("tiles", 75);resource_inventory;house_builder
resource_inventory("insulation sheets", 60);resource_inventory;house_builder
supplier_details("GreenMaterials", "Sofia Trentini");supplier_details;house_builder
supplier_details("QuickBuild", "Marco Neri");supplier_details;house_builder
supplier_details("EcoBuild", "Chiara Rossi");supplier_details;house_builder
last_transaction_id(20587);last_transaction_id;onbanking
account(AccountNumber, AccountType, CurrentBalance);account;onbanking
user(Username, PasswordHash, CustomerId);user;onbanking
transaction(TransactionId, AccountNumber, Type, Amount, Date, Description);transaction;onbanking
login_status(Username, IsLoggedIn);login_status;onbanking
authentication_attempt(Username, Timestamp, Status);authentication_attempt;onbanking
transfer_limit(AccountType, DailyLimit);transfer_limit;onbanking
pending_transaction(TransactionId, AccountNumber);pending_transaction;onbanking
successful_login(Username);successful_login;onbanking
failed_login(Username);failed_login;onbanking
send_notification(CustomerId, MessageId);send_notification;onbanking
security_alert(CustomerId, TypeOfAlert);security_alert;onbanking
bill_payment(TransactionId, AccountNumber, Payee, Amount, DueDate);bill_payment;onbanking
card_status(CardNumber, Status);card_status;onbanking
last_transaction_id(20900);last_transaction_id;onbanking
last_transaction_id(20901);last_transaction_id;onbanking
last_transaction_id(20902);last_transaction_id;onbanking
account(30983, premium, 7200);account;onbanking
account(30120, standard, 1850);account;onbanking
account(32100, student, 300);account;onbanking
account(_, savings, 990);account;onbanking
user("Luigi88", _, 3001);user;onbanking
user("AnnaRossi", hash123xyz, 3002);user;onbanking
user(_, _, 3003);user;onbanking
transaction(9001, 30120, transfer, 150, "01/01/2024", "Monthly rent");transaction;onbanking
transaction(9002, 32100, withdrawal, 50, "15/02/2024", "ATM");transaction;onbanking
transaction(9003, 30983, deposit, 5000, "10/03/2024", "Salary");transaction;onbanking
transaction(_, _, payment, 300, "12/04/2024", _);transaction;onbanking
login_status("Luigi88", online);login_status;onbanking
login_status("AnnaRossi", offline);login_status;onbanking
login_status("MikeTheBanker", _);login_status;onbanking
authentication_attempt("AnnaRossi", "2024-03-10", failed);authentication_attempt;onbanking
authentication_attempt("Luigi88", "2024-03-12", success);authentication_attempt;onbanking
authentication_attempt(_, "2024-03-14", failed);authentication_attempt;onbanking
successful_login("AnnaRossi");successful_login;onbanking
successful_login("Luigi88");successful_login;onbanking
successful_login("TheRealGio23");successful_login;onbanking
failed_login("MikeTheBanker");failed_login;onbanking
failed_login("WrongGuy1");failed_login;onbanking
failed_login(_);failed_login;onbanking
transfer_limit(premium, 5000);transfer_limit;onbanking
transfer_limit(student, 300);transfer_limit;onbanking
transfer_limit(_, 2000);transfer_limit;onbanking
pending_transaction(9200, 30120);pending_transaction;onbanking
pending_transaction(9201, 32100);pending_transaction;onbanking
pending_transaction(_, 30983);pending_transaction;onbanking
send_notification(3001, 800);send_notification;onbanking
send_notification(3002, 801);send_notification;onbanking
send_notification(_, 802);send_notification;onbanking
security_alert(3001, urgent);security_alert;onbanking
security_alert(3002, suspicious_login);security_alert;onbanking
security_alert(_, multiple_failures);security_alert;onbanking
card_status(1221, active);card_status;onbanking
card_status(1222, blocked);card_status;onbanking
card_status(_, inactive);card_status;onbanking
bill_payment(9100, 30120, "Water Utility", 80, "2024-04-01")";bill_payment;onbanking
bill_payment(9101, 30983, "Electricity Co.", 120, "2024-04-10")";bill_payment;onbanking
bill_payment(_, _, "Gas Service", 65, _)";bill_payment;onbanking
transaction(9102, 32100, payment, 60, "2024-04-12", "Tuition Fee")";transaction;onbanking
transaction(_, _, deposit, 2000, "2024-05-01", _)";transaction;onbanking
account(30985, standard, 2500);account;onbanking
user("MarioPro", hashedpwd, 3004);user;onbanking
card_status(1344, expired);card_status;onbanking
login_status("MarioPro", online);login_status;onbanking
authentication_attempt("MarioPro", "2024-05-05", success);authentication_attempt;onbanking
send_notification(3004, 803);send_notification;onbanking
security_alert(3004, blocked_card);security_alert;onbanking
transfer_limit(standard, 1500);transfer_limit;onbanking
transaction(9103, 30985, withdrawal, 400, "2024-05-10", "ATM");transaction;onbanking
pending_transaction(9300, 30985);pending_transaction;onbanking
bill_payment(9104, 30985, "Internet Provider", 90, "2024-05-12");bill_payment;onbanking
failed_login("Intruder99");failed_login;onbanking
authentication_attempt("Intruder99", "2024-05-13", failed);authentication_attempt;onbanking
card_status(1444, stolen);card_status;onbanking
transaction(9105, 30985, payment, 75, "2024-05-13", "Gym Fee");transaction;onbanking
send_notification(3004, 804);send_notification;onbanking
security_alert(3004, unusual_access);security_alert;onbanking
user("SandraK", pwdhash22, 3005);user;onbanking
account(31000, business, 12000);account;onbanking
transfer_limit(business, 10000);transfer_limit;onbanking
card_status(1555, active);card_status;onbanking
login_status("SandraK", offline);login_status;onbanking
authentication_attempt("SandraK", "2024-05-14", success);authentication_attempt;onbanking
successful_login("SandraK");successful_login;onbanking
transaction(9106, 31000, deposit, 8000, "2024-05-15", "Client Payment");transaction;onbanking
pending_transaction(9400, 31000);pending_transaction;onbanking
bill_payment(9107, 31000, "Office Supplies", 300, "2024-05-20");bill_payment;onbanking
send_notification(3005, 805);send_notification;onbanking
security_alert(3005, location_mismatch);security_alert;onbanking
card_status(_, expired);card_status;onbanking
failed_login("Shadow01");failed_login;onbanking
transaction(_, _, transfer, 1500, "2024-06-01", _);transaction;onbanking
account(31001, premium, 8500);account;onbanking
user("Shadow01", _, 3006);user;onbanking
successful_login("Shadow01");successful_login;onbanking
authentication_attempt("Shadow01", "2024-06-01", failed);authentication_attempt;onbanking
login_status("Shadow01", online);login_status;onbanking
transfer_limit(_, _);transfer_limit;onbanking
robot_status(Status);robot_status;robot_assistant
current_location(Zone, Display);current_location;robot_assistant
target_location(Zone, ShelfOrDisplay);target_location;robot_assistant
battery_level(Percentage);battery_level;robot_assistant
charging_status(IsCharging);charging_status;robot_assistant
customer_request(CustomerID, ProductInterest);customer_request;robot_assistant
product_details(ProductName, Category, Brand, Price, StockQuantity, DisplayLocation);product_details;robot_assistant
product_specifications(ProductName, SpecName, SpecValue);product_specifications;robot_assistant
product_specifications(Laptop_X, "RAM", "16GB");product_specifications;robot_assistant
product_on_display(ProductName, DisplayLocation);product_on_display;robot_assistant
product_in_stockroom(ProductName, Quantity);product_in_stockroom;robot_assistant
low_stock_alert(ProductName, CurrentQuantity);low_stock_alert;robot_assistant
out_of_stock(ProductName);out_of_stock;robot_assistant
promotion_active(ProductName, DiscountPercentage, StartDate, EndDate);promotion_active;robot_assistant
accessory_compatible(MainProduct, AccessoryProduct);accessory_compatible;robot_assistant
sales_completed(ProductList, Currency(TotalAmount), PaymentType);sales_completed;robot_assistant
return_process(TransactionID, Product);return_process;robot_assistant
navigation_obstacle(ObstacleType, Location);navigation_obstacle;robot_assistant
navigation_obstacle(cliente, corsia_tv);navigation_obstacle;robot_assistant
task_completed(TaskName);task_completed;robot_assistant
robot_status(recharging);robot_status;robot_assistant
robot_status(_);robot_status;robot_assistant
battery_level(80);battery_level;robot_assistant
battery_level(_);battery_level;robot_assistant
charging_status(true);charging_status;robot_assistant
charging_status(_);charging_status;robot_assistant
current_location(smartphones, 3);current_location;robot_assistant
current_location(_, 3);current_location;robot_assistant
customer_request(28, "SamsungS3");customer_request;robot_assistant
customer_request(_, "XiaomiRedmi");customer_request;robot_assistant
product_on_display("Xiaomi", _);product_on_display;robot_assistant
product_on_display(_, pc);product_on_display;robot_assistant
promotion_active("Motorola2", 20, "1/1/2025", "1/2/2025");promotion_active;robot_assistant
promotion_active(_, 30, _, "1/2/2025");promotion_active;robot_assistant
accessory_compatible("SamsungWatch", "XiaomiRedmi");accessory_compatible;robot_assistant
accessory_compatible(_, "XiaomiRedmi");accessory_compatible;robot_assistant
sales_completed("iPhone6", euro(80), cash);sales_completed;robot_assistant
sales_completed(_, euro(80), _);sales_completed;robot_assistant
return_process(2, "Xiaomi");return_process;robot_assistant
return_process(_, "Samsung");return_process;robot_assistant
out_of_stock("VR");out_of_stock;robot_assistant
out_of_stock(_);out_of_stock;robot_assistant
product_in_stockroom(_, 9);product_in_stockroom;robot_assistant
product_in_stockroom("SamsungS3", _);product_in_stockroom;robot_assistant
task_completed(clear);task_completed;robot_assistant
task_completed(_);task_completed;robot_assistant
low_stock_alert("iPhone6", 1);low_stock_alert;robot_assistant
low_stock_alert(_, _);low_stock_alert;robot_assistant
customer_query("C28", "SamsungS3");customer_query;robot_assistant
customer_query(_, _);customer_query;robot_assistant
robot_status(recharging);robot_status;robot_assistant
battery_level(80);battery_level;robot_assistant
customer_request(_, dishwasher);customer_request;robot_assistant
event_details(EventName, Date, Time);event_details;tickets
venue_details(VenueName, Address, Capacity);venue_details;tickets
ticket_type(EventName, TicketTypeName, Currency(Price), AvailableQuantity);ticket_type;tickets
user_account(Username, Email, RegistrationDate);user_account;tickets
order_details(OrderNumber, Username, OrderDate, Currency(TotalAmount), Status);order_details;tickets
tickets_in_order(OrderNumber, TicketTypeName, Quantity, SeatInfo);tickets_in_order;tickets
available_tickets(TicketTypeName, Quantity);available_tickets;tickets
event_status(EventName, Status);event_status;tickets
purchase_history(Username);purchase_history;tickets
payment_method(Username, MethodType, LastFourDigits);payment_method;tickets
refund_request(OrderNumber, RequestDate, Status);refund_request;tickets
event_on_sale(EventName, SaleStartDate, SaleEndDate);event_on_sale;tickets
artist_info(ArtistName, Genre, Description);artist_info;tickets
event_artist(EventName, ArtistName);event_artist;tickets
event_details("WaltuhParty", "10/11/2033", "20:00");event_details;tickets
event_details(EventName, "10/11/2033", "20:00");event_details;tickets
event_details(_, Date, Time);event_details;tickets
ticket_type("WaltuhParty", vip, euros(300), 3);ticket_type;tickets
ticket_type(EventName, vip, Currency(Price), Quantity);ticket_type;tickets
ticket_type(EventName, TicketTypeName, Currency(Price), _);ticket_type;tickets
user_account("Giorgio03", "bubbulus@gmail.com", RegistrationDate);user_account;tickets
user_account(Username, Email, _);user_account;tickets
user_account(_, _, RegistrationDate);user_account;tickets
order_details(12, "AldoBaldo02", "11/11/2021", euros(5000), processing);order_details;tickets
order_details(OrderNumber, Username, OrderDate, Currency(TotalAmount), Status);order_details;tickets
order_details(_, Username, _, Currency(_), _);order_details;tickets
available_tickets(premium, 200);available_tickets;tickets
available_tickets(TicketTypeName, Quantity);available_tickets;tickets
available_tickets(_, _);available_tickets;tickets
event_status("NintendoDirectOnlyForRichPeople", ready);event_status;tickets
event_status(EventName, Status);event_status;tickets
event_status(_, cancelled);event_status;tickets
event_artist("NintendoDirectOnlyForRichPeople", "Bowser");event_artist;tickets
event_artist("WaltuhParty", ArtistName);event_artist;tickets
event_artist(EventName, _);event_artist;tickets
refund_request(21, "3/10/2021", cancelled);refund_request;tickets
refund_request(OrderNumber, RequestDate, Status);refund_request;tickets
refund_request(_, _, _);refund_request;tickets
payment_method("Caruso98", card, 2221);payment_method;tickets
payment_method(Username, MethodType, LastFourDigits);payment_method;tickets
payment_method(_, _, _);payment_method;tickets
artist_info("FRANCOILMUSICISTA", pop, _);artist_info;tickets
artist_info(ArtistName, Genre, _);artist_info;tickets
artist_info(_, _, _);artist_info;tickets
purchase_history("AldoBaldo02");purchase_history;tickets
purchase_history(Username);purchase_history;tickets
user_account("Baldovino28", _, "21/12/2021");user_account;tickets
user_account(_, Email, _);user_account;tickets
refund_request(_, _, suspended);refund_request;tickets
refund_request(OrderNumber, _, _);refund_request;tickets
order_details(4, "Finger00", "21/12/2021", euros(_), _);order_details;tickets
order_details(OrderNumber, Username, _, Currency(_), _);order_details;tickets
event_details(_, "21/12/2021", "21:00");event_details;tickets
event_details(_, _, _);event_details;tickets
available_tickets(TicketTypeName, Quantity);available_tickets;tickets
refund_request(26, _, _);refund_request;tickets
artist_info("LilWaltuh", _, _);artist_info;tickets
event_artist("WaltuhParty", "LilWaltuh");event_artist;tickets
ticket_type("WaltuhParty", vip, euros(300), 4);ticket_type;tickets
payment_method("AldoBaldo02", card, 4444);payment_method;tickets
user_account("AldoBaldo02", "aldobaldino03@gmail.com", "12/12/2012");user_account;tickets
event_details("WaltuhParty", "1/1/2026", "01:00");event_details;tickets
