sentence;performative;embedding;solution;domain
Show me every single date we are fully booked.;askAll;fully_booked/1;fully_booked(_);booking
Which dates have zero vacancy?;askAll;fully_booked/1;fully_booked(_);booking
Give me a list of all the days we're fully booked.;askAll;fully_booked/1;fully_booked(_);booking
Show me all the people who have reservations.;askAll;has_reservation/2;has_reservation(_, _);booking
Who currently has a booking?;askAll;has_reservation/2;has_reservation(_, _);booking
List the names of everyone with a reservation.;askAll;has_reservation/2;has_reservation(_, _);booking
Tell me who has a reservation.;askAll;has_reservation/2;has_reservation(_, _);booking
Which guests have made a reservation?;askAll;has_reservation/2;has_reservation(_, _);booking
Which payments have failed;askAll;payment_status/2;payment_status(_, failed);booking
Show me all the pending payments;askAll;payment_status/2;payment_status(_, pending);booking
List all payments that are completed;askAll;payment_status/2;payment_status(_, completed);booking
Find every payment with a cancelled status;askAll;payment_status/2;payment_status(_, cancelled);booking
I need to see all payments that were declined;askAll;payment_status/2;payment_status(_, declined);booking
the car is running on fumes, the fuel level is empty;tell;fuel_level/1;fuel_level(empty);car_control
we need to stop for gas because the tank is low;tell;fuel_level/1;fuel_level(low);car_control
the petrol gauge indicates that the fuel level is low;tell;fuel_level/1;fuel_level(low);car_control
the tank is nearly dry and the fuel level is critical;tell;fuel_level/1;fuel_level(critical);car_control
the fuel level is low so we should find a gas station;tell;fuel_level/1;fuel_level(low);car_control
The device is charging, with 15% still missing;tell;battery_charge/1;battery_charge(85);car_control
It is currently plugged in, 30% left to reach full capacity;tell;battery_charge/1;battery_charge(70);car_control
Charging right now, 45% missing to hit 100%;tell;battery_charge/1;battery_charge(55);car_control
The phone is charging, only 10% is missing;tell;battery_charge/1;battery_charge(90);car_control
It's plugged in and charging, 25% missing;tell;battery_charge/1;battery_charge(75);car_control
Show me all room options open starting from 12/9/2025;askAll;available/3;"available(_, ""12/9/2025"", _)";booking
List every room that I can book beginning 12/9/2025;askAll;available/3;"available(_, ""12/9/2025"", _)";booking
Are there any rooms free for the date 12/9/2025 onwards;askAll;available/3;"available(_, ""12/9/2025"", _)";booking
I need a list of all available rooms starting on 12/9/2025;askAll;available/3;"available(_, ""12/9/2025"", _)";booking
Which accommodations have openings from 12/9/2025 until further notice;askAll;available/3;"available(_, ""12/9/2025"", _)";booking
the car is currently set to ready;tell;vehicle_status/1;vehicle_status(ready);car_control
the vehicle state is now ready;tell;vehicle_status/1;vehicle_status(ready);car_control
the status of the car is ready;tell;vehicle_status/1;vehicle_status(ready);car_control
everything is ready with the vehicle;tell;vehicle_status/1;vehicle_status(ready);car_control
the vehicle is confirmed as ready;tell;vehicle_status/1;vehicle_status(ready);car_control
The car is cruising at 180 kph;tell;current_speed/2;current_speed(180, kph);car_control
Maintain a speed of 180 kph;tell;current_speed/2;current_speed(180, kph);car_control
We are currently hitting 180 kph;tell;current_speed/2;current_speed(180, kph);car_control
Set the velocity to 180 kph;tell;current_speed/2;current_speed(180, kph);car_control
Traveling at 180 kph right now;tell;current_speed/2;current_speed(180, kph);car_control
the gas gauge is showing low;tell;fuel_level/1;fuel_level(low);car_control
my current fuel level is empty;tell;fuel_level/1;fuel_level(empty);car_control
the car is reporting a high amount of fuel;tell;fuel_level/1;fuel_level(high);car_control
the fuel indicator is currently at medium;tell;fuel_level/1;fuel_level(medium);car_control
the vehicle reports the fuel status as critical;tell;fuel_level/1;fuel_level(critical);car_control
My battery status is currently at 80 percent;tell;battery_charge/1;battery_charge(80);car_control
The charge level is sitting at 80;tell;battery_charge/1;battery_charge(80);car_control
I've got 80 percent power in the battery;tell;battery_charge/1;battery_charge(80);car_control
The device is showing an 80 percent charge;tell;battery_charge/1;battery_charge(80);car_control
The battery is currently holding 80 percent capacity;tell;battery_charge/1;battery_charge(80);car_control
Set the wiper to level 3;tell;wiper_speed/1;wiper_speed(3);car_control
The windshield wipers are currently on setting 3;tell;wiper_speed/1;wiper_speed(3);car_control
Wiper speed is currently 3;tell;wiper_speed/1;wiper_speed(3);car_control
The wipers are running at speed 3;tell;wiper_speed/1;wiper_speed(3);car_control
I have the wipers on speed 3;tell;wiper_speed/1;wiper_speed(3);car_control
The vehicle covered 650km in 9 hours;tell;odometer_reading/2;odometer_reading(km(650), hour(9));car_control
We drove a total of 450km over the course of 5 hours;tell;odometer_reading/2;odometer_reading(km(450), hour(5));car_control
My trip spanned 800km and took 12 hours;tell;odometer_reading/2;odometer_reading(km(800), hour(12));car_control
We managed to rack up 300km in just 4 hours;tell;odometer_reading/2;odometer_reading(km(300), hour(4));car_control
The distance recorded was 950km after 14 hours of driving;tell;odometer_reading/2;odometer_reading(km(950), hour(14));car_control
We have settled on Kabul as our final destination;tell;destination_set/1;destination_set(kabul);car_control
Our trip will take us to Kabul;tell;destination_set/1;destination_set(kabul);car_control
Kabul is the place where we are heading;tell;destination_set/1;destination_set(kabul);car_control
We finally picked Kabul as the spot;tell;destination_set/1;destination_set(kabul);car_control
The destination for our upcoming trip is Kabul;tell;destination_set/1;destination_set(kabul);car_control
The back tires are currently at 55PSI;tell;tire_pressure/2;tire_pressure(rear, 55);car_control
Set the pressure for the rear tires to 55PSI;tell;tire_pressure/2;tire_pressure(rear, 55);car_control
The rear wheels have a pressure reading of 55PSI;tell;tire_pressure/2;tire_pressure(rear, 55);car_control
I need to report that the rear tire pressure is 55PSI;tell;tire_pressure/2;tire_pressure(rear, 55);car_control
The rear tire setup is sitting at 55PSI;tell;tire_pressure/2;tire_pressure(rear, 55);car_control
the braking lights currently show broken;tell;light_status/2;light_status(braking, broken);car_control
set the status of the braking lights to broken;tell;light_status/2;light_status(braking, broken);car_control
braking lights are in a broken state;tell;light_status/2;light_status(braking, broken);car_control
report the braking lights as broken;tell;light_status/2;light_status(braking, broken);car_control
the braking lights are now broken;tell;light_status/2;light_status(braking, broken);car_control
what is the state of every light;askAll;light_status/2;light_status(_, _);car_control
list all the light statuses for me;askAll;light_status/2;light_status(_, _);car_control
check the current status of all my lights;askAll;light_status/2;light_status(_, _);car_control
show me the status of all available lights;askAll;light_status/2;light_status(_, _);car_control
tell me the state of every light on the list;askAll;light_status/2;light_status(_, _);car_control
Show me the current pressure readings for all tires.;askAll;tire_pressure/2;tire_pressure(_, _);car_control
List the PSI levels for every wheel.;askAll;tire_pressure/2;tire_pressure(_, _);car_control
What are the tire pressure stats for each position?;askAll;tire_pressure/2;tire_pressure(_, _);car_control
I need the pressure values for all the tires.;askAll;tire_pressure/2;tire_pressure(_, _);car_control
Give me a report on the pressure of all tires.;askAll;tire_pressure/2;tire_pressure(_, _);car_control
What is the position of every tire inflated to 30 PSI?;askAll;tire_pressure/2;tire_pressure(_, 30);car_control
List all wheels that currently hold a pressure of 30 PSI.;askAll;tire_pressure/2;tire_pressure(_, 30);car_control
Show me all tires with a pressure level of 30.;askAll;tire_pressure/2;tire_pressure(_, 30);car_control
Identify every tire showing exactly 30 PSI.;askAll;tire_pressure/2;tire_pressure(_, 30);car_control
Give me a list of all tires set to 30 PSI.;askAll;tire_pressure/2;tire_pressure(_, 30);car_control
Which seats currently have the belt unfastened?;askAll;seat_belt_fastened/2;seat_belt_fastened(_, unfastened);car_control
List every seat where the safety belt is not buckled.;askAll;seat_belt_fastened/2;seat_belt_fastened(_, unfastened);car_control
Show me all positions with an unfastened seat belt.;askAll;seat_belt_fastened/2;seat_belt_fastened(_, unfastened);car_control
Find all the seats that are not wearing their seat belts.;askAll;seat_belt_fastened/2;seat_belt_fastened(_, unfastened);car_control
Identify every location where the seat belt is still unfastened.;askAll;seat_belt_fastened/2;seat_belt_fastened(_, unfastened);car_control
Which doors are currently open?;askAll;door_status/2;door_status(_, open);car_control
List every door that is in the open state.;askAll;door_status/2;door_status(_, open);car_control
Show me all open doors.;askAll;door_status/2;door_status(_, open);car_control
I need a list of all the doors that are open right now.;askAll;door_status/2;door_status(_, open);car_control
What is the status of all doors that are currently open?;askAll;door_status/2;door_status(_, open);car_control
What is the tire pressure for the front wheels?;askAll;tire_pressure/2;tire_pressure(front, _);car_control
List the pressure readings for all front tires.;askAll;tire_pressure/2;tire_pressure(front, _);car_control
Show me the pressure stats for the front set.;askAll;tire_pressure/2;tire_pressure(front, _);car_control
Retrieve the tire pressure for the front position.;askAll;tire_pressure/2;tire_pressure(front, _);car_control
Display every pressure value recorded for the front tires.;askAll;tire_pressure/2;tire_pressure(front, _);car_control
How much fuel is currently in the tank?;askOne;fuel_level/1;fuel_level(_);car_control
Tell me the current fuel status.;askOne;fuel_level/1;fuel_level(_);car_control
I need to know the fuel gauge reading.;askOne;fuel_level/1;fuel_level(_);car_control
What does the fuel level look like right now?;askOne;fuel_level/1;fuel_level(_);car_control
Show me the current fuel level.;askOne;fuel_level/1;fuel_level(_);car_control
What is the target location?;askOne;destination_set/1;destination_set(_);car_control
Where are we headed?;askOne;destination_set/1;destination_set(_);car_control
Tell me the destination.;askOne;destination_set/1;destination_set(_);car_control
Which spot are we going to?;askOne;destination_set/1;destination_set(_);car_control
What is the final stop?;askOne;destination_set/1;destination_set(_);car_control
Which gear is currently engaged?;askOne;current_gear/1;current_gear(_);car_control
Tell me the current gear position.;askOne;current_gear/1;current_gear(_);car_control
In what gear is the transmission right now?;askOne;current_gear/1;current_gear(_);car_control
Show me the current gear.;askOne;current_gear/1;current_gear(_);car_control
What is the status of the gear?;askOne;current_gear/1;current_gear(_);car_control
What was the duration for a trip covering 150 km?;askOne;odometer_reading/2;odometer_reading(km(150), _);car_control
How many hours did we drive for a distance of 850 km?;askOne;odometer_reading/2;odometer_reading(km(850), _);car_control
Give me the travel time for a 300 km journey.;askOne;odometer_reading/2;odometer_reading(km(300), _);car_control
I need to know the time elapsed for a 50 km drive.;askOne;odometer_reading/2;odometer_reading(km(50), _);car_control
How much time was logged for covering 1200 km?;askOne;odometer_reading/2;odometer_reading(km(1200), _);car_control
What is the current setting for the wipers?;askOne;wiper_speed/1;wiper_speed(_);car_control
Display the wiper speed level.;askOne;wiper_speed/1;wiper_speed(_);car_control
I need to know the speed of the wipers.;askOne;wiper_speed/1;wiper_speed(_);car_control
Show me what speed the wipers are set to.;askOne;wiper_speed/1;wiper_speed(_);car_control
Check the wiper speed for me.;askOne;wiper_speed/1;wiper_speed(_);car_control
What is the current battery level?;askOne;battery_charge/1;battery_charge(_);car_control
How much power remains in the battery?;askOne;battery_charge/1;battery_charge(_);car_control
Check the battery percentage for me.;askOne;battery_charge/1;battery_charge(_);car_control
Tell me the state of the battery charge.;askOne;battery_charge/1;battery_charge(_);car_control
What is the battery at right now?;askOne;battery_charge/1;battery_charge(_);car_control
What is the current status of the vehicle?;askOne;vehicle_status/1;vehicle_status(_);car_control
Is the vehicle currently operational or not?;askOne;vehicle_status/1;vehicle_status(_);car_control
Check the status of the vehicle for me.;askOne;vehicle_status/1;vehicle_status(_);car_control
Tell me what the vehicle status is right now.;askOne;vehicle_status/1;vehicle_status(_);car_control
I need to know the state of the vehicle.;askOne;vehicle_status/1;vehicle_status(_);car_control
List the components needed for pasta bolognese;askAll;ingredients/2;ingredients(pasta(bolognese), _);cooking
What is inside a pasta bolognese dish;askAll;ingredients/2;ingredients(pasta(bolognese), _);cooking
Show me all the items required to make pasta bolognese;askAll;ingredients/2;ingredients(pasta(bolognese), _);cooking
I need to know the ingredients for pasta bolognese;askAll;ingredients/2;ingredients(pasta(bolognese), _);cooking
Which ingredients are used in pasta bolognese;askAll;ingredients/2;ingredients(pasta(bolognese), _);cooking
What are the components of pasta bolognese?;askOne;ingredients/2;ingredients(pasta(bolognese), _);cooking
List all the items used to make pasta bolognese.;askOne;ingredients/2;ingredients(pasta(bolognese), _);cooking
Show me the list of ingredients for pasta bolognese.;askOne;ingredients/2;ingredients(pasta(bolognese), _);cooking
Tell me everything that goes into a pasta bolognese recipe.;askOne;ingredients/2;ingredients(pasta(bolognese), _);cooking
What is the calorie count for a single carrot?;askOne;calories/3;calories(carrot, unit(1, piece), _);cooking
Tell me the energy content of one carrot.;askOne;calories/3;calories(carrot, unit(1, piece), _);cooking
How much energy is in one carrot?;askOne;calories/3;calories(carrot, unit(1, piece), _);cooking
Find the calories for a piece of carrot.;askOne;calories/3;calories(carrot, unit(1, piece), _);cooking
I need to know the calorie value of a single carrot.;askOne;calories/3;calories(carrot, unit(1, piece), _);cooking
I enjoy having a pizza capricciosa along with a weiss beer.;tell;pairing/2;pairing(pizza(capricciosa), beer(weiss));cooking
A pizza capricciosa is a great match for a weiss beer.;tell;pairing/2;pairing(pizza(capricciosa), beer(weiss));cooking
My favorite combo is pizza capricciosa and weiss beer.;tell;pairing/2;pairing(pizza(capricciosa), beer(weiss));cooking
Pairing a weiss beer with a pizza capricciosa is perfect.;tell;pairing/2;pairing(pizza(capricciosa), beer(weiss));cooking
I like to pair my pizza capricciosa with weiss beer.;tell;pairing/2;pairing(pizza(capricciosa), beer(weiss));cooking
A portion of 100 grams of beef contains 156 calories.;tell;calories/3;calories(beef, unit(100, gr), 156);cooking
Beef has 156 calories per 100 grams.;tell;calories/3;calories(beef, unit(100, gr), 156);cooking
If you eat 100 grams of beef, you consume 156 calories.;tell;calories/3;calories(beef, unit(100, gr), 156);cooking
156 calories are found in 100 grams of beef.;tell;calories/3;calories(beef, unit(100, gr), 156);cooking
The energy content of 100 grams of beef is exactly 156 calories.;tell;calories/3;calories(beef, unit(100, gr), 156);cooking
A portion of beef contains 300 calories;tell;calories/3;calories(beef, unit(1, portion), 300);cooking
How many calories are in a serving of beef?;tell;calories/3;calories(beef, unit(1, portion), _);cooking
Report the calorie count for a single portion of beef;tell;calories/3;calories(beef, unit(1, portion), 300);cooking
What is the caloric value of one serving of beef?;tell;calories/3;calories(beef, unit(1, portion), _);cooking
A single serving of beef has 300 calories;tell;calories/3;calories(beef, unit(1, portion), 300);cooking
a serving of meat costs 20 dollars;tell;price/2;price(meat, dollars(20));cooking
meat is priced at 25 dollars per portion;tell;price/2;price(meat, dollars(25));cooking
you can get meat for 15 dollars;tell;price/2;price(meat, dollars(15));cooking
the meat costs 30 dollars;tell;price/2;price(meat, dollars(30));cooking
a single portion of meat will run you 18 dollars;tell;price/2;price(meat, dollars(18));cooking
a single slice of chocolate cake contains 250 calories;tell;calories/3;calories(chocolate, unit(1, slice), 250);cooking
be aware that one piece of chocolate contributes 250 calories;tell;calories/3;calories(chocolate, unit(1, piece), 250);cooking
chocolate packs 250 calories for every individual slice;tell;calories/3;calories(chocolate, unit(1, slice), 250);cooking
that chocolate bar has 250 calories per serving;tell;calories/3;calories(chocolate, unit(1, serving), 250);cooking
you should know that a slice of chocolate is 250 calories;tell;calories/3;calories(chocolate, unit(1, slice), 250);cooking
beans have 24 grams of protein in every 100 gram serving;tell;protein/3;protein(beans, unit(100, gr), 24);cooking
a 100 gram portion of beans provides 24 grams of protein;tell;protein/3;protein(beans, unit(100, gr), 24);cooking
you get 24 grams of protein from 100 grams of beans;tell;protein/3;protein(beans, unit(100, gr), 24);cooking
beans pack 24 grams of protein per 100 grams;tell;protein/3;protein(beans, unit(100, gr), 24);cooking
if you eat 100 grams of beans, you consume 24 grams of protein;tell;protein/3;protein(beans, unit(100, gr), 24);cooking
I enjoy having a salad accompanied by water;tell;pairing/2;pairing(salad, water(_));cooking
A fresh salad and some water make a good pair;tell;pairing/2;pairing(salad, water(_));cooking
My meal preference is salad and water;tell;pairing/2;pairing(salad, water(_));cooking
I usually eat salad with water;tell;pairing/2;pairing(salad, water(_));cooking
Salad goes well with water for me;tell;pairing/2;pairing(salad, water(_));cooking
A slice of cake is priced at 15 euros;tell;price/2;price(cake, euros(15));cooking
The cost for one piece of cake is 15 euros;tell;price/2;price(cake, euros(15));cooking
I am selling cake for 15 euros per slice;tell;price/2;price(cake, euros(15));cooking
One serving of cake goes for 15 euros;tell;price/2;price(cake, euros(15));cooking
The price of a single cake slice is set at 15 euros;tell;price/2;price(cake, euros(15));cooking
list all the components needed to prepare a bolognese lasagna;askAll;ingredients/2;ingredients(lasagna(bolognese), _);cooking
tell me every item required for a bolognese lasagna recipe;askAll;ingredients/2;ingredients(lasagna(bolognese), _);cooking
which ingredients go into a lasagna bolognese;askAll;ingredients/2;ingredients(lasagna(bolognese), _);cooking
show me the full list of things used to make a bolognese lasagna;askAll;ingredients/2;ingredients(lasagna(bolognese), _);cooking
what goes into making a bolognese lasagna;askAll;ingredients/2;ingredients(lasagna(bolognese), _);cooking
what is the cost of every item on the menu?;askAll;price/2;price(_, _);cooking
list the prices for all of the dishes available.;askAll;price/2;price(_, _);cooking
i need to see the pricing for every single dish.;askAll;price/2;price(_, _);cooking
show me how much each dish costs.;askAll;price/2;price(_, _);cooking
what are the prices for all the food items?;askAll;price/2;price(_, _);cooking
List every calorie count for the food items available.;askAll;calories/3;calories(_, _, _);cooking
Show me the calorie content for all items in the database.;askAll;calories/3;calories(_, _, _);cooking
What are the calories for each food item?;askAll;calories/3;calories(_, _, _);cooking
Give me a full list of calories for all the food.;askAll;calories/3;calories(_, _, _);cooking
Display all the calorie values for every available food item.;askAll;calories/3;calories(_, _, _);cooking
show me every possible combination you have;askAll;pairing/2;pairing(_, _);cooking
list all the pairings available;askAll;pairing/2;pairing(_, _);cooking
what are all the pairings in your database;askAll;pairing/2;pairing(_, _);cooking
give me a full list of all matches;askAll;pairing/2;pairing(_, _);cooking
tell me all the available pairings;askAll;pairing/2;pairing(_, _);cooking
List every dish that is priced at exactly 50 pounds;askAll;price/2;price(_, pounds(50));cooking
Show me all the meals which have a cost of 50 pounds;askAll;price/2;price(_, pounds(50));cooking
I need a list of all items costing 50 pounds;askAll;price/2;price(_, pounds(50));cooking
Find every dish available for 50 pounds;askAll;price/2;price(_, pounds(50));cooking
What are all the dishes that go for 50 pounds;askAll;price/2;price(_, pounds(50));cooking
List the components needed for a chocolate cake;askAll;ingredients/2;ingredients(cake(chocolate), _);cooking
What items go into making a chocolate cake;askAll;ingredients/2;ingredients(cake(chocolate), _);cooking
Tell me the ingredients for a chocolate cake;askAll;ingredients/2;ingredients(cake(chocolate), _);cooking
Which things do I need to prepare a chocolate cake;askAll;ingredients/2;ingredients(cake(chocolate), _);cooking
Show me all the ingredients for a chocolate cake;askAll;ingredients/2;ingredients(cake(chocolate), _);cooking
List every pizza that contains 200 calories;askAll;calories/3;calories(pizza(_), unit(1, portion), 200);cooking
Show me all pizzas with exactly 200 calories;askAll;calories/3;calories(pizza(_), unit(1, portion), 200);cooking
I need a list of all pizzas having 200 calories;askAll;calories/3;calories(pizza(_), unit(1, portion), 200);cooking
Which pizzas are rated at 200 calories;askAll;calories/3;calories(pizza(_), unit(1, portion), 200);cooking
Find all the pizzas that have a calorie count of 200;askAll;calories/3;calories(pizza(_), unit(1, portion), 200);cooking
What are all the costs listed on the menu?;askAll;price/2;price(_, _);cooking
List every single item and its associated price for me.;askAll;price/2;price(_, _);cooking
I need a full breakdown of the prices for all menu items.;askAll;price/2;price(_, _);cooking
Show me the entire menu with all the prices.;askAll;price/2;price(_, _);cooking
Give me a list of every product and how much it costs.;askAll;price/2;price(_, _);cooking
What is the price of the cake?;askOne;price/2;price(cake, _);cooking
Tell me the cost of a cake.;askOne;price/2;price(cake, _);cooking
How much money should I pay for a cake?;askOne;price/2;price(cake, _);cooking
What is the price for the cake?;askOne;price/2;price(cake, _);cooking
Give me the price for a cake.;askOne;price/2;price(cake, _);cooking
What is the calorie count for 100 grams of ice cream?;askOne;calories/3;calories(icecream, unit(100, gr), _);cooking
Tell me the calories in a 100g serving of ice cream.;askOne;calories/3;calories(icecream, unit(100, gr), _);cooking
How many calories are contained in 100 gr of ice cream?;askOne;calories/3;calories(icecream, unit(100, gr), _);cooking
I need the calorie value for 100 grams of ice cream.;askOne;calories/3;calories(icecream, unit(100, gr), _);cooking
What's the caloric content of 100 gr of ice cream?;askOne;calories/3;calories(icecream, unit(100, gr), _);cooking
What is the ideal food to go with a red wine?;askOne;pairing/2;pairing(_, wine(red));cooking
Show me a good dish to eat alongside a glass of red wine.;askOne;pairing/2;pairing(_, wine(red));cooking
I'm looking for a recommendation for a meal that pairs well with red wine.;askOne;pairing/2;pairing(_, wine(red));cooking
Which food item is typically served with red wine?;askOne;pairing/2;pairing(_, wine(red));cooking
Find a suitable pairing for red wine.;askOne;pairing/2;pairing(_, wine(red));cooking
List the components needed for roman pasta;askOne;ingredients/2;ingredients(pasta(roman), _);cooking
Show me what goes into a roman pasta;askOne;ingredients/2;ingredients(pasta(roman), _);cooking
What items are in a roman style pasta;askOne;ingredients/2;ingredients(pasta(roman), _);cooking
Tell me the ingredients to make roman pasta;askOne;ingredients/2;ingredients(pasta(roman), _);cooking
Which ingredients are used for roman pasta;askOne;ingredients/2;ingredients(pasta(roman), _);cooking
What is the cost of this item?;askOne;price/2;price(_, _);cooking
Tell me the price for this meal.;askOne;price/2;price(_, _);cooking
I need to know the price of this dish.;askOne;price/2;price(_, _);cooking
How much does this cost?;askOne;price/2;price(_, _);cooking
What is the price tag on this?;askOne;price/2;price(_, _);cooking
I'm looking for the 3rd order id;tell;last_order_id/1;last_order_id(3);domestic_robot
The most recent order ID is 3;tell;last_order_id/1;last_order_id(3);domestic_robot
Check the system, the last order ID is 3;tell;last_order_id/1;last_order_id(3);domestic_robot
It turns out the final order ID is 3;tell;last_order_id/1;last_order_id(3);domestic_robot
My records show the latest order ID is 3;tell;last_order_id/1;last_order_id(3);domestic_robot
I'd like to get 4 sandwiches;tell;order/2;order(sandwich,4);domestic_robot
Put me down for 7 sandwiches;tell;order/2;order(sandwich,7);domestic_robot
I am placing an order for 1 sandwich;tell;order/2;order(sandwich,1);domestic_robot
I need 9 sandwiches;tell;order/2;order(sandwich,9);domestic_robot
I just bought 5 sandwiches;tell;order/2;order(sandwich,5);domestic_robot
The fridge contains some water;tell;available/2;available(water, fridge);domestic_robot
I have water stored in the fridge;tell;available/2;available(water, fridge);domestic_robot
Water is currently available inside the fridge;tell;available/2;available(water, fridge);domestic_robot
You can find water in the fridge;tell;available/2;available(water, fridge);domestic_robot
There's water kept in the fridge;tell;available/2;available(water, fridge);domestic_robot
I have eaten 6 slices of pizza and that is definitely too much;tell;too_much/2;too_much(pizza, 6);domestic_robot
Having 3 sodas is too much;tell;too_much/2;too_much(soda, 3);domestic_robot
5 scoops of ice cream is too much for me;tell;too_much/2;too_much(ice_cream, 5);domestic_robot
It is too much to have 2 burgers;tell;too_much/2;too_much(burger, 2);domestic_robot
8 cookies is too much;tell;too_much/2;too_much(cookie, 8);domestic_robot
I've set the maximum for candy at 5;tell;limit/2;limit(candy,5);domestic_robot
The candy limit is now 5;tell;limit/2;limit(candy,5);domestic_robot
Make sure the candy limit is fixed at 5;tell;limit/2;limit(candy,5);domestic_robot
We have decided to cap candy at 5;tell;limit/2;limit(candy,5);domestic_robot
Set the candy limit to 5;tell;limit/2;limit(candy,5);domestic_robot
The owner possesses the food;tell;has/2;has(owner,food);domestic_robot
Food is held by the owner;tell;has/2;has(owner,food);domestic_robot
The proprietor is in possession of the food;tell;has/2;has(owner,food);domestic_robot
The food belongs to the owner;tell;has/2;has(owner,food);domestic_robot
The owner is keeping the food;tell;has/2;has(owner,food);domestic_robot
The current time is 09:30;tell;time/1;"time(""09:30"")";domestic_robot
Right now it is 14:15;tell;time/1;"time(""14:15"")";domestic_robot
It is exactly 21:45;tell;time/1;"time(""21:45"")";domestic_robot
The clock shows 11:20;tell;time/1;"time(""11:20"")";domestic_robot
It is currently 06:50;tell;time/1;"time(""06:50"")";domestic_robot
I am having wine for lunch;tell;drink/1;drink(wine);domestic_robot
For my lunch today I am having wine;tell;drink/1;drink(wine);domestic_robot
Wine is what I am drinking at lunch;tell;drink/1;drink(wine);domestic_robot
My lunch drink today is wine;tell;drink/1;drink(wine);domestic_robot
I decided to drink wine with my lunch;tell;drink/1;drink(wine);domestic_robot
a shipment of 50 apples arrived yesterday;tell;delivered/3;delivered(apple, 50, _);domestic_robot
we received 12 apples yesterday;tell;delivered/3;delivered(apple, 12, _);domestic_robot
yesterday saw the delivery of 35 apples;tell;delivered/3;delivered(apple, 35, _);domestic_robot
there were 100 apples delivered yesterday;tell;delivered/3;delivered(apple, 100, _);domestic_robot
a total of 5 apples were dropped off yesterday;tell;delivered/3;delivered(apple, 5, _);domestic_robot
What is the ID for the most recent order?;askOne;last_order_id/1;last_order_id(_);domestic_robot
Show me the last order ID.;askOne;last_order_id/1;last_order_id(_);domestic_robot
Give me the ID of the latest order placed.;askOne;last_order_id/1;last_order_id(_);domestic_robot
Which ID belongs to the most recent order?;askOne;last_order_id/1;last_order_id(_);domestic_robot
Tell me the ID of the final order.;askOne;last_order_id/1;last_order_id(_);domestic_robot
how many beers can I drink?;askOne;limit/2;limit(beer,_);domestic_robot
tell me the maximum number of beers allowed.;askOne;limit/2;limit(beer,_);domestic_robot
what is the beer consumption limit?;askOne;limit/2;limit(beer,_);domestic_robot
give me the limit for beer intake.;askOne;limit/2;limit(beer,_);domestic_robot
what's the cap on beer?;askOne;limit/2;limit(beer,_);domestic_robot
Could you tell me the current time?;askOne;time/1;time(_);domestic_robot
What is the time right now?;askOne;time/1;time(_);domestic_robot
Give me the time.;askOne;time/1;time(_);domestic_robot
What time should I look at?;askOne;time/1;time(_);domestic_robot
Check the time for me.;askOne;time/1;time(_);domestic_robot
Is there a beer for the owner?;askOne;has/2;has(owner, beer);domestic_robot
What beer does the owner have?;askOne;has/2;has(owner, _);domestic_robot
Does the owner possess a beer?;askOne;has/2;has(owner, beer);domestic_robot
Find out if the owner has a beer.;askOne;has/2;has(owner, beer);domestic_robot
Check whether the owner is holding a beer.;askOne;has/2;has(owner, beer);domestic_robot
Did you have a beer with your breakfast?;askOne;drink/1;drink(beer);domestic_robot
I am curious if beer was your drink of choice this morning.;askOne;drink/1;drink(beer);domestic_robot
Confirm whether you consumed beer for breakfast.;askOne;drink/1;drink(beer);domestic_robot
Was beer what you had to drink for breakfast?;askOne;drink/1;drink(beer);domestic_robot
I want to know if you drank beer at breakfast.;askOne;drink/1;drink(beer);domestic_robot
How many cakes were delivered in the order of 30?;askOne;delivered/3;delivered(cake, 30, _);domestic_robot
Was a total of 30 cakes sent out?;askOne;delivered/3;delivered(cake, 30, _);domestic_robot
Confirm if 30 cakes have been delivered.;askOne;delivered/3;delivered(cake, 30, _);domestic_robot
Check if the delivery included 30 cakes.;askOne;delivered/3;delivered(cake, 30, _);domestic_robot
Has the shipment of 30 cakes arrived?;askOne;delivered/3;delivered(cake, 30, _);domestic_robot
Where can I find some pasta?;askOne;available/2;available(pasta, _);domestic_robot
Is there any pasta in the house?;askOne;available/2;available(pasta, _);domestic_robot
Does the pantry have any pasta?;askOne;available/2;available(pasta, _);domestic_robot
Tell me where the pasta is stored.;askOne;available/2;available(pasta, _);domestic_robot
Find the location of the pasta.;askOne;available/2;available(pasta, _);domestic_robot
Was the amount of meat I consumed excessive?;askOne;too_much/2;too_much(meat, _);domestic_robot
Is the quantity of meat I had too high?;askOne;too_much/2;too_much(meat, _);domestic_robot
Have I gone overboard with the meat?;askOne;too_much/2;too_much(meat, _);domestic_robot
Would you say I ate an excessive serving of meat?;askOne;too_much/2;too_much(meat, _);domestic_robot
Did I have too much meat today?;askOne;too_much/2;too_much(meat, _);domestic_robot
Show me every order for beer;askAll;order/2;order(beer, _);domestic_robot
List all the quantities requested for beer;askAll;order/2;order(beer, _);domestic_robot
I need a full report on the beer orders;askAll;order/2;order(beer, _);domestic_robot
Give me the details for all beer orders;askAll;order/2;order(beer, _);domestic_robot
What are all the beer orders currently in the system?;askAll;order/2;order(beer, _);domestic_robot
what items are currently kept in the fridge?;askAll;available/2;available(_, fridge);domestic_robot
show me everything stored inside the fridge;askAll;available/2;available(_, fridge);domestic_robot
tell me what is inside the fridge;askAll;available/2;available(_, fridge);domestic_robot
give me a list of products in the fridge;askAll;available/2;available(_, fridge);domestic_robot
